iter	Passed	Remaining
1088	1735	1451
1089	1736	1449
1090	1738	1448
1091	1739	1446
1092	1740	1444
1093	1741	1442
1094	1743	1440
1095	1744	1439
1096	1745	1437
1097	1747	1435
1098	1750	1434
1099	1751	1433
1100	1753	1431
1101	1754	1429
1102	1755	1427
1103	1756	1425
1104	1758	1424
1105	1760	1422
1106	1761	1420
1107	1763	1419
1108	1764	1417
1109	1765	1415
1110	1766	1413
1111	1768	1411
1112	1769	1410
1113	1770	1407
1114	1771	1405
1115	1772	1404
1116	1774	1402
1117	1775	1400
1118	1777	1399
1119	1778	1397
1120	1780	1396
1121	1782	1394
1122	1783	1392
1123	1785	1391
1124	1786	1389
1125	1788	1387
1126	1789	1386
1127	1791	1384
1128	1792	1383
1129	1793	1381
1130	1795	1379
1131	1796	1377
1132	1798	1376
1133	1799	1374
1134	1801	1372
1135	1802	1370
1136	1804	1369
1137	1805	1367
1138	1807	1366
1139	1808	1364
1140	1810	1362
1141	1811	1361
1142	1813	1359
1143	1815	1358
1144	1816	1356
1145	1817	1354
1146	1819	1353
1147	1820	1351
1148	1822	1349
1149	1823	1347
1150	1824	1346
1151	1826	1344
1152	1828	1342
1153	1829	1341
1154	1831	1339
1155	1832	1338
1156	1834	1336
1157	1835	1334
1158	1837	1333
1159	1838	1331
1160	1840	1329
1161	1841	1328
1162	1842	1326
1163	1844	1324
1164	1845	1322
1165	1847	1321
1166	1848	1319
1167	1850	1318
1168	1851	1316
1169	1852	1314
1170	1854	1312
1171	1855	1310
1172	1856	1309
1173	1857	1307
1174	1859	1305
1175	1860	1303
1176	1862	1302
1177	1863	1300
1178	1865	1298
1179	1866	1297
1180	1868	1295
1181	1869	1294
1182	1871	1292
1183	1872	1290
1184	1874	1289
1185	1875	1287
1186	1876	1285
1187	1878	1283
1188	1879	1282
1189	1881	1280
1190	1882	1278
1191	1884	1277
1192	1885	1275
1193	1887	1274
1194	1888	1272
1195	1890	1270
1196	1891	1268
1197	1892	1267
1198	1894	1265
1199	1896	1264
1200	1897	1262
1201	1898	1260
1202	1900	1259
1203	1901	1257
1204	1903	1255
1205	1904	1254
1206	1906	1252
1207	1908	1250
1208	1909	1249
1209	1911	1247
1210	1912	1246
1211	1914	1244
1212	1915	1242
1213	1917	1241
1214	1918	1239
1215	1934	1246
1216	1962	1262
1217	1965	1261
1218	1967	1260
1219	1969	1259
1220	1972	1258
1221	1974	1256
1222	1977	1256
1223	1981	1256
1224	1986	1256
1225	1990	1256
1226	1993	1256
1227	1997	1255
1228	2001	1255
1229	2005	1255
1230	2009	1255
1231	2012	1254
